 RNO,ID,TI,Author Keywords,Keywords Plus
138,1314692,Equivalence between priority queues and sorting,algorithms; theory; priority queues; sorting,SHORTEST PATHS; FUSION TREES; TIME
139,1219097,Fast computation of low-rank matrix approximations,algorithms; theory; singular value decomposition; low rank approximation; sampling,RANDOM SYMMETRIC-MATRICES; EIGENVALUES
140,1219094,A characterization of regular expressions under bisimulation,theory; bisimulation equivalence; regular expressions,CONCRETE PROCESS ALGEBRA; DECIDABILITY; EQUIVALENCE; SEMANTICS; LANGUAGES
141,1219095,The rational numbers as an abstract data type,verification; languages; rational numbers; field; meadow; division-by-zero; total versus partial functions; abstract data types; algebraic specification; equations; initial algebra; computable algebras,ELEMENTARY ALGEBRAIC SPECIFICATIONS; SYSTEMS
142,1219063,Deciding equivalences among conjunctive aggregate queries,languages; theory; aggregation; query equivalence; datalog; bag-set semantics,RELATIONAL CALCULUS; DATABASE-SYSTEMS; SATISFIABILITY; CONTAINMENT; CONSTRAINTS; ALGEBRA
143,1219096,The measurement calculus,languages; standardization; theory; models for quantum computing; quantum programming languages; term rewriting; normalization; measurement-based quantum computing; teleportation-based quantum computing,
144,1219098,On the maximum satisfiability of random formulas,theory; maximum satisfiability,THRESHOLD; SAT
145,1206038,Speed scaling to manage energy and temperature,algorithms; performance; speed scaling; voltage scaling; power management,VARIABLE VOLTAGE PROCESSORS; ALLOCATION; DESIGN; POWER
146,1206036,The complexity of homomorphism and constraint satisfaction problems seen from the other side,theory; complexity; conjunctive queries; constraint satisfaction; homomorphisms; parameterized complexity,FIXED-PARAMETER TRACTABILITY; HYPERTREE WIDTH; PLANAR GRAPH; DECOMPOSITIONS; COMPLETENESS; DATALOG; MINORS
147,1206039,Polynomial-time quantum algorithms for Pell's equation and the principal ideal problem,algorithms; theory; quantum algorithms; quantum computation,DISCRETE LOGARITHMS
148,1206037,Polymorphic higher-order recursive path orderings,languages; theory; verification; automated termination prover tool; Godel's polymorphic recursor; higher-order rewriting; termination orderings; typed lambda calculus,TERMINATION; CALCULUS; SYSTEMS; CONSTRUCTIONS
149,1236460,Dynamic ordered sets with exponential search trees,algorithms; theory; search trees; ordered lists,TRANS-DICHOTOMOUS ALGORITHMS; FUSION TREES; UPDATE TIME; BOUNDS; SPACE
150,1255444,(Almost) tight bounds and existence theorems for single-commodity confluent flows,algorithms; theory; approximation algorithms; confluent flow; network flow; routing; tight bounds,APPROXIMATION ALGORITHMS; TREES
151,1236461,When are elections with few candidates hard to manipulate?,algorithms; economics; theory; computational social choice; hardness of manipulation; voting,VOTING SCHEMES; COMPLEXITY; LOTTERIES
152,1255446,Optimal pants decompositions and shortest homotopic cycles on an orientable surface,algorithms; theory; combinatorial optimization; combinatorial surface; computational; topology; homotopy; pants decomposition,CURVES; PATHS; GRAPHS; 2-MANIFOLDS; LOOPS; PLANE
153,1236457,The PCP theorem by gap amplification,gap amplification; PCP,INTERACTIVE PROOF SYSTEMS; APPROXIMATION; COMPLEXITY; HARDNESS
154,1284323,On computing all abductive explanations from a propositional horn theory,algorithms; theory; abduction; propositional logic; Horn theories; polynomial totaltime; computation; enumeration algorithms; dualization problem; model-based reasoning; characteristic set; prime implicates; tractability; NP-hardness,LOGIC-BASED ABDUCTION; DATABASE DEPENDENCIES; REVISION ALGORITHMS; BOOLEAN FUNCTIONS; COMPLEXITY; DUALIZATION; IDENTIFICATION; TRANSVERSALS; HYPERGRAPH; EXAMPLES
155,1284324,Lossless abstraction of imperfect information games,algorithms; economics; theory; automated abstraction; computer poker; equilibrium finding; game theory; sequential games of imperfect information,EXTENSIVE 2-PERSON GAMES; EFFICIENT COMPUTATION; FORM GAMES; EQUILIBRIA; STRATEGIES; STABILITY
156,1236458,Approximation via cost sharing: Simpler and better approximation algorithms for network design,,GENERALIZED STEINER PROBLEM; STOCHASTIC OPTIMIZATION; LOCATION; FACILITY; TREES
157,1236462,Characterizing and reasoning about probabilistic and non-probabilistic expectation,,EXPECTED UTILITY; ADDITIVITY; LOGIC
158,1255448,Periodicity and unbordered words: A proof of the extended Duval conjecture,theory; combinatorics on words; Duval's conjecture; periodicity; unbordered words,ALGORITHM; SEGMENTS; STRINGS
159,1255445,A new look at survey propagation and its generalizations,algorithms; theory; satisfiability problems; k-SAT; survey propagation; belief propagation; sum-product; message-passing; factor graph; Markov random field; Gibbs sampling,BAYESIAN BELIEF NETWORKS; PROBABILISTIC INFERENCE; SATISFIABILITY; ALGORITHMS; GRAPHS
160,1284321,AdWords and generalized Online matching,algorithms; economics; theory; keyword auctions; search engines; online algorithms,
161,1284322,Low distortion embeddings for edit distance,algorithms; theory; pattern matching; computations on discrete structures; edit distance; Levenshtein distance; metric embeddings; dimension reduction; sketching; communication; complexity; nearest neighbor search,
162,1255449,Sampling from large matrices: An approach through geometric functional analysis,algorithms; theory; randomized algorithms; Monte-Carlo methods; massive data sets; singular-value decompositions; low-rank approximations,MONTE-CARLO ALGORITHMS; INFORMATION-RETRIEVAL; APPROXIMATION; DECOMPOSITION; SPACES
163,1284325,A bisimulation for type abstraction and recursion,theory; languages; Lambda-calculus; contextual equivalence; bisimulations; logical relations; existential types; recursive types,PROGRAMMING-LANGUAGES; PI-CALCULUS; EQUIVALENCE
164,1255447,On deciding well-definedness for query languages on trees,verification; theory; languages; runtime errors; well-definedness; XQuery,CONTAINMENT; XPATH; XML
165,1217857,On the composition of authenticated Byzantine Agreement,algorithms; security; theory; authenticated Byzantine Agreement; protocol composition; lower bounds; randomized protocols,CRYPTOGRAPHIC PROTOCOLS; MULTIPARTY COMPUTATION; SECURE; PROOFS
166,1217858,Linear work suffix array construction,algorithms; theory; difference cover; external memory algorithms; suffix array,TREE CONSTRUCTION; ALGORITHM; COMPUTATION; MEMORY; MODEL; SORT
167,1217859,Solving SAT and SAT modulo theories: From an abstract Davis-Putnam-Logemann-Loveland procedure to DPLL(T),theory; verification; SAT solvers; Satisfiability Modulo Theories,DECISION PROCEDURES; CONGRUENCE CLOSURE; SATISFIABILITY; EQUALITY; LOGIC
168,1217860,An approximation scheme for stochastic linear programming and its application to stochastic integer programs,algorithms; theory; approximation algorithms; convex optimization; randomized algorithms,ALGORITHMS; OPTIMIZATION
169,1183908,New hardness results for congestion minimization and machine scheduling,theory; hardness of approximation; congestion minimization; network routing; scheduling; resource minimization,APPROXIMATION ALGORITHMS; DISJOINT PATHS; THROUGHPUT
170,1183909,Finding a maximum likelihood tree is hard,theory; algorithms; maximum likelihood; tree reconstruction; maximum parsimony; intractability; approximate vertex cover,COMPUTATIONAL-COMPLEXITY; INFERRING PHYLOGENIES; EVOLUTIONARY TREES; PARSIMONY; SEQUENCES
171,1183910,Logarithmic hardness of the undirected edge-disjoint paths problem,algorithms; hardness of approximation; undirected graphs; edge-disjoint paths,APPROXIMATION ALGORITHMS; PROOFS; FLOW
172,,Combining expert advice in reactive environments,algorithms; sequential decision making; experts algorithms; reactive environments; exploration-exploitation tradeoffs; complexity and performance bounds,GAME
173,1183912,Using expander graphs to find vertex connectivity,algorithms; design; performance; theory; expander graphs; graphs; vertex connectivity,ALGORITHMS
174,1183913,Online algorithms for market clearing,algorithms; economics; theory; Competitive analysis; double auctions; exchanges; online algorithms,ELECTRONIC COMMERCE; AUCTIONS; MECHANISMS
175,1162350,Fast and accurate algorithms for protein side-chain packing,algorithms; theory; protein side-chain packing; tree decomposition; approximate algorithm; polynomial-time approximation scheme,DEAD-END ELIMINATION; PREDICTION; HOMOLOGY; EFFICIENT; OPTIMIZATION; PREFERENCES; BACKBONE; BLAST; TREE
176,1162351,Locally testable codes and PCPs of almost-linear length,algorithms; theory; verification; proof verification; probabilistically checkable proofs; error-correcting codes; derandornization,APPROXIMATION; HARDNESS
177,1162352,Distribution sort with randomized cycling,algorithms; design; experimentation; performance; theory; sorting; external sorting; distribution; external memory; input/output; merging; multiple disks; multipass algorithms; parallel disks; randomization; sorting,PARALLEL DISKS; MEMORY; ALGORITHMS
178,1162353,Backing up in singly linked lists,algorithms; theory; incompressibility; string matching; two way automata,
179,1147955,"Stable distributions, pseudorandom generators, embeddings, and data stream computation",algorithms; theory; sketching; dimensionality reduction; embeddings; data streams; norms,
180,1147956,Dependent rounding and its applications to approximation algorithms,algorithms; theory; randomized rounding; broadcast scheduling,
181,1147957,Interface surfaces for protein-protein complexes,algorithms; theory; filtrations; geometric and topological algorithms; interface surfaces; protein interaction; Voronoi diagrams,RECOGNITION SITES; HYDROGEN-BONDS; HOT-SPOTS; BINDING; INHIBITOR; MUTATIONS; RESIDUES; BARSTAR; BARNASE; DESIGN
182,1147958,Split-ordered lists: Lock-free extensible hash tables,algorithms; theory; performance; experimentation; concurrent data structures; hash table; non-blocking synchronization; compare-and-swap,
183,1147959,Probabilistic parsing strategies,algorithms; theory; parsing algorithms; probabilistic parsing; transduction; context-free grammars; push-down automata,CONTEXT-FREE GRAMMARS; LANGUAGES; AUTOMATA; FORM
184,1147960,The generalized two-server problem,algorithms; theory; work function; metrical service system; kappa-server problem; on-line algorithms; competitive analysis,OPTIMAL ONLINE ALGORITHM; WORK FUNCTION ALGORITHM; COMPETITIVE ALGORITHMS; SERVER PROBLEMS
185,1147961,Alpha-structural recursion and induction,languages; theory; verification; abstract syntax; binders; induction; names; recursion,NORMALIZATION; SEMANTICS; BINDING; NAMES
186,1147962,Computing with highly mixed states,algorithms; theory; quantum computation,QUANTUM COMPUTATION; EXPERIMENTAL REALIZATION; ALGORITHM; POWER
187,1131344,On preservation under homomorphisms and unions of conjunctive queries,theory; conjunctive queries; Datalog; finite model theory; first-order logic; graph minors; homomorphisms; infinitary logic; preservation,FINITE STRUCTURES; DATALOG; GRAPH
188,1131345,Conjunctive queries over trees,theory; languages; algorithms; complexity; expressiveness; succinctness; conjunctive queries; trees; XML,XPATH; COMPLEXITY
189,1131346,A characterization of first-order topological properties of planar spatial data,languages; theory,CONSTRAINT QUERY LANGUAGES; DATABASES; EQUIVALENCE
190,1131343,Special issue 2004 PODS - Introduction,,
191,1120583,On the sum-of-squares algorithm for bin packing,algorithms; experimentation; theory; approximation algorithms; average case analysis; bin packing,LINEAR-PROGRAMMING APPROACH; AVERAGE-CASE BEHAVIOR; CUTTING-STOCK PROBLEM; DISCRETE ITEM SIZES; COMBINATORIAL OPTIMIZATION; FIT; THEOREMS; BOUNDS
192,1120584,A dichotomy theorem for constraint satisfaction problems on a 3-element set,algorithms; theory; constraint satisfaction problem; homomorphism problem; complexity; dichotomy theorem,CONSISTENCY ALGORITHM; COMPLEXITY; ALGEBRAS; CLOSURE
193,1120585,A new average case analysis for completion time scheduling,theory; algorithms; scheduling theory; average case analysis,EXPONENTIAL SERVICE TIMES; PARALLEL MACHINES; PRIORITY POLICIES; INDEPENDENT TASKS; FLOW-TIME; MINIMIZE; APPROXIMATION; PROCESSORS; ALGORITHMS; JOBS
194,1120586,Hidden word statistics,algorithms; pattern matching; words; subsequences; languages; combinatorial calculus; generating functions; complex asymptotics; De Bruijn graph; discrete probability; distributional analysis,INFORMATION-THEORY; DYNAMICAL SOURCES; SEQUENCES; STRINGS; DEVIATIONS
195,1120587,Limits on the ability of quantum states to convey classical messages,theory; communication complexity; entanglement-assisted quantum channel; Holevo bound; information theory; Inner Product function; lower bounds; privacy amplification; quantum communication; shared entanglement; superdense coding,COMMUNICATION COMPLEXITY; BIT COMMITMENT
196,1101822,Time-space lower bounds for satistiability,theory; complexity of satisfiability; time-space lower bounds,COMPLEXITY; SATISFIABILITY; TRADEOFFS
197,1101823,Subexponential parameterized algorithms on bounded-genus graphs and H-minor-free graphs,"algorithms; design; theory; (k, r)-center; fixed-parameter algorithms; domination; planar graph; map graph",SINGLE-CROSSING GRAPHS; DOMINATING SET; PLANAR GRAPHS; TREE-WIDTH; APPROXIMATION ALGORITHMS; COMPLEXITY; TREEWIDTH; SURFACE; MINERS
198,1101824,Ownership confinement ensures representation independence for object-oriented programs,languages; verification; alias control; confinement; relational parametricity; simulation; data refinement,ORDER IMPERATIVE LANGUAGE; JAVA; SEMANTICS; VERIFICATION; ABSTRACTION; REFINEMENT; VARIABLES; LOGIC
199,1101825,Behavioral theory for mobile ambients,languages; theory; behavioral theories; bisimulation; concurrency; process calculi; programming languages,BISIMULATION; CALCULI; EQUIVALENCES
200,1089024,Frontier search,A* algorithm; best-first search; bidirectional search; breadth-first search; Dijkstra's algorithm; heuristic search; sequence alignment; sliding-tile puzzles; Towers of Hanoi,HEURISTIC-SEARCH; A-ASTERISK; ALGORITHMS; ALIGNMENT; SEQUENCE; DATABASE; PATHS
201,1089025,Lattice problems in NP boolean AND coNP,algorithms; approximation; fourier series; lattices,APPROXIMATE; ALGORITHMS; NUMBERS; HARD
202,1089026,On the impossibility of dimension reduction in l(1),metric spaces; embedding; dimension reduction,FINITE METRIC-SPACES; EMBEDDING SUBSPACES; GRAPHS; LP
203,1089027,Hardness of approximating the shortest vector problem in lattices,approximation algorithms; cryptography; hardness of approximation; lattices; shortest vector problem,POLYNOMIAL-TIME; NP-HARD; BOUNDS; GEOMETRY; THEOREM; NUMBERS
204,1089028,Scheduling over a time-varying user-dependent channel with applications to high-speed wireless data,scheduling; stability; time-varying; user-depedent; wireless channel,THROUGHPUT; ALGORITHM
205,1082037,An in-place sorting with O (n log n) comparisons and O(n) moves,algorithms; sorting in-place,MINIMUM DATA MOVEMENT; HEAPSORT
206,1082038,Asymmetric kappa-center is log* n-hard to approximate,algorithms; theory; approximation algorithms; asymmetric kappa-center; hardness of approximation; metric kappa-center,P-CENTER PROBLEM
207,1082039,Indexing compressed text,algorithms; design; theory; Burrows-Wheeler transform; full-text indexing; indexing data structure; Lempel-Ziv compressor; pattern searching; suffix tree; suffix array; text compression,SUFFIX ARRAYS; BURROWS-WHEELER; FM-INDEX; SPACE; TIME; TREES
208,1082040,Source routing and scheduling in packet networks,algorithms; theory; adversarial queuing theory; end-to-end delay; packet routing; packet scheduling; network stability,ALGORITHMS
209,1082041,Approximation algorithms for asymmetric TSP by decomposing directed regular multigraphs,algorithms; theory; approximation algorithms,TRAVELING-SALESMAN PROBLEM; SHORTEST SUPERSTRINGS; DISTANCES ONE; MAX TSP
210,1082042,Remote attribute grammars,languages; language description; remote attribution; collection attributes,COMPILER CONSTRUCTION
211,1082043,Boosting textual compression in optimal linear time,algorithms; design; theory; arithmetic coding; Burrows-Wheeler transform; empirical entropy; Huffman coding; Lempel-Ziv compressors; suffix tree; text compression,BURROWS-WHEELER-TRANSFORM; ALGORITHM; SCHEME; PPM
212,1066101,An improved exponential-time algorithm for k-SAT,algorithms; theory; CNF satisfiability; randomized algorithms,SATISFIABILITY
213,1066102,Simplify: A theorem prover for program checking,algorithms; verification; theorem proving; decision procedures; program checking,DECISION PROCEDURES; FUNCTION SYMBOLS; ALGORITHM
214,1066103,Beyond proof-of-compliance: Security analysis in trust management,security; theory; languages; access control; trust management; distributed system security; logic programs; safety analysis,DISTRIBUTED SYSTEMS; MODEL-CHECKING; ACCESS-CONTROL; PROTECTION; LANGUAGES; SPKI/SDSI
215,1059514,Trade-offs for fully dynamic transitive closure on DAGs: Breaking through the O(n(2)) barrier,algorithms; dynamic graph algorithms; transitive closure,RECTANGULAR MATRIX MULTIPLICATION; GRAPHS; PATHS
216,1059515,Lower bounds for linear degeneracy testing,theory; computational geometry; linear decision trees; lower bounds,ALGEBRAIC DECISION TREES; COMPLEXITY; SETS
217,1059516,Simple extractors for all min-entropies and a new pseudorandom generator,hardness versus randomness; pseudorandom generator; randomness extractor,FINITE-FIELDS; PRIMITIVE ROOTS; RANDOMNESS; COMPLEXITY; EXPANDERS; HIERARCHY; ERROR; SPACE; CODES; TIME
218,1059517,Trade-offs in probabilistic packet marking for IP traceback,algorithms; security; theory; denial of service,
219,1059519,An information-theoretic approach to normal forms for relational and XML data,information theory; design; normal forms; normalization algorithms; relational databases; XML,NESTED RELATIONS; DESIGN; DATABASES
220,1059520,The complexity of XPath query evaluation and XML typing,theory; languages; algorithms; complexity; LOGCFL; XML; XPath; DTD,LOGARITHMIC SPACE; NC1
221,1059518,Introduction,,
222,1044732,Approximate distance oracles,algorithms; theory; approximate distance oracles; spanners; distance labelings; shortest paths; distance queries; distances,PAIRS SHORTEST PATHS; FINITE METRIC-SPACES; ALL-PAIRS; MATRIX MULTIPLICATION; HASH FUNCTIONS; GRAPHS; ALGORITHMS; SPANNERS; TIME
223,1044733,Determining approximate shortest paths on weighted polyhedral surfaces,algorithms; design; performance; design and analysis of algorithms; computational geometry; approximation algorithms; shortest path problems; polyhedral surfaces; weighted paths,3 DIMENSIONS; CONVEX POLYTOPE; ALGORITHM
224,1044734,Aggregate operators in probabilistic databases,algorithms; performance; theory; aggregates; probabilistic relational databases,DEDUCTIVE DATABASES; LOGIC; SEMANTICS
225,1044735,Analyzing security protocols with secrecy types and logic programs,languages; security; theory; verification; cryptographic protocols; logic programming; process calculi; secrecy properties; typing,CRYPTOGRAPHIC PROTOCOLS; INFORMATION-FLOW; PI-CALCULUS; VERIFICATION; ENCRYPTION; LANGUAGES
226,1039489,Concurrent zero-knowledge,algorithms; security; theory; zero knowledge; cryptographic protocols; composition,PROOF SYSTEMS; SIGNATURE SCHEME; EFFICIENT; NP; COMPLEXITY; SECURE
227,1039490,New lattice-based cryptographic constructions,algorithms; theory; lattice; cryptography; public key encryption; average-case hardness; quantum computing,CRYPTOSYSTEMS; ALGORITHMS
228,1039491,Spatial gossip and resource location protocols,algorithms; gossip; resource location; decentralized algorithm,NETWORKS
229,1039492,A new approach to dynamic all pairs shortest paths,algorithms; dynamic graph algorithms; shortest paths,ALGORITHMS
230,1039493,Compact oracles for reachability and approximate distances in planar digraphs,algorithms; theory; planar graphs; reachability and shortest paths oracles,SEPARATOR THEOREM; FAST ALGORITHMS; SHORTEST PATHS; GRAPHS; MINORS
231,1039494,Fast Monte-Carlo algorithms for finding low-rank approximations,algorithms; theory; matrix algorithms; sampling; low-rank approximation,REGULARITY LEMMA; INFORMATION; RETRIEVAL
232,1017461,Almost tight upper bounds for vertical decompositions in four dimensions,arrangements; decompositions; point location; range searching; ray shooting; robot motion planning,LOWER ENVELOPES; GEOMETRIC OPTIMIZATION; ARRANGEMENTS; ALGORITHM; TRIANGLES; SURFACES; 3-SPACE
233,1017462,Automatic information extraction from large Websites,information extraction; relational model; wrappers,WRAPPER INDUCTION; LANGUAGES; GRAMMARS; IDENTIFICATION; INFERENCE; WEB
234,1017463,Self-stabilizing clock synchronization in the presence of Byzantine faults,Byzantine failures; clock synchronization; self-stabilization,
235,1017464,A unified theory of shared memory consistency,distributed shared memory systems; memory consistency models; memory consistency model lattice,COMMUNICATION; SYSTEMS; MODELS
236,1008732,Nonclairvoyant scheduling to minimize the total flow time on single and parallel machines,probabilistic analysis; flow time; multilevel feedback; randomized algorithms; algorithms; performance; theory,MIGRATION
237,1008733,Solving convex programs by random walks,convex programs; random walks; polynomial time; algorithms; theory,COMBINATORIAL OPTIMIZATION; ALGORITHM; VOLUME; BODIES; SETS
238,1008734,"The random oracle methodology, revisited",correlation intractability; cryptography; diagonalization; CS-proofs; the random-oracle model; security; theory,PROOFS; ENCRYPTION; SIGNATURES; SECURITY; SIGN
239,1008735,Quantum lower bounds for the collision and the element distinctness problems,collision; element distinctness; polynomial method; quantum computing; quantum lower bounds; theory,
240,1008736,Approximating extent measures of points,computational geometry; approximation; algorithms; theory,OPTIMIZATION PROBLEMS; 3 DIMENSIONS; ALGORITHMS; WIDTH; SHELLS; SET
241,1008737,Edge-disjoint routing in plane switch graphs in linear time,planar graphs; edge-disjoint paths; algorithms; theory,PATHS; ALGORITHM
242,1008738,A polynomial-time approximation algorithm for the permanent of a matrix with nonnegative entries,Markov chain Monte Carlo; permanent of a matrix; rapidly mixing Markov chains; algorithms; theory,GENERATION; GRAPHS
243,990309,Polynomial-time data reduction for DOMINATING SET,algorithms; theory; NP-complete problems; dominating set; plannar graphs; fixed-parameter tractability; problem kernel; data reduction,FIXED-PARAMETER ALGORITHMS; PLANAR GRAPHS; APPROXIMATION ALGORITHMS; VERTEX COVER; COMPLEXITY
244,990310,Smoothed analysis of algorithms: Why the simplex algorithm usually takes polynomial time,algorithms; theory; simplex method; smoothed analysis; complexity; perturbation,LINEAR-PROGRAMMING PROBLEMS; AVERAGE NUMBER; COMPLEXITY THEORY; STEPS; BEHAVIOR; GRAPHS
245,990311,Lower bounds on the bounded coefficient complexity of bilinear maps,algorithms; theory; algebraic complexity; bilinear circuits; lower bounds; singular values,LINEAR COMPLEXITY; POWER-SERIES
246,990312,Satisfiability of word equations with constants is in PSPACE,theory; string unification; word equations,MAKANIN ALGORITHM
247,990313,"On clusterings: Good, bad and spectral",algorithms; theory; clustering; graph algorithms; spectral methods,APPROXIMATION ALGORITHMS
248,972640,Resolution lower bounds for the weak pigeonhole principle,lower bounds; computational complexity; proof complexity; propositional logic; P different than NP,PROOFS
249,972641,Lenses in arrangements of pseudo-circles and their applications,arrangements; pseudo-circles; incidence problems,GEOMETRY; SEGMENTS; BOUNDS; SETS
250,972642,The security of all RSA and discrete log bits,cryptography; complexity; RSA-encryption; bit-security; discrete logarithms,
251,972643,Number-theoretic constructions of efficient pseudo-random functions,pseudo-random functions; factoring; decision Diffie-Hellman; constant-depth threshold circuits; natural proofs; learning theory,DEPTH CIRCUITS; SECURE; PERMUTATIONS; ENCRYPTION; GENERATOR; DIVISION
252,972644,Segmentation problems,clustering; data mining; approximation algorithms; market segmentation,
253,972645,On sufficient conditions for unsatisfiability of random formulas,theory; random CNF formulas; phase transitions; satisfiability; datalog; pebble games; propositional resolution,CONSTRAINT SATISFACTION; 2ND-ORDER LOGIC; LOWER BOUNDS; RESOLUTION; COMPLEXITY; DECISION; DATALOG
254,972646,Existential second-order logic over graphs: Charting the tractability frontier,theory; algorithms; language; existential second-order logic; NP-complete problems; prefix classes; finite model theory; graph constraints; graph coloring,TREE-WIDTH; COMPLEXITY CLASSES; MINORS; SPACE
255,962448,Containment and equivalence for a fragment of XPath,algorithms; languages; theory; tree pattern matching; XPath expressions; query containment; query equivalence,TREES
256,962449,From discrepancy to declustering: near-optimal multidimensional declustering strategies for range queries,algorithms; performance; declustering schemes; range query; disk allocations; parallel database,SEQUENCES; ALLOCATION; SCHEMES
257,962450,Monadic datalog and the expressive power of languages for web information extraction,algorithms; languages; theory; complexity; expressiveness; HTML; information extraction; monadic datalog; MSO; regular tree languages; web wrapping,
258,962447,Untitled,,
259,950621,"Greedy facility location algorithms analyzed using,dual fitting with factor-revealing LP",approximation algorithms; dual-fitting method; facility location problem; primal-dual method,RATIO; PLANT
260,950622,Improving table compression with combinatorial optimization,asymmetric traveling salesman problem; dynamic programming; experimental algorithmics; table compression,TRAVELING-SALESMAN PROBLEM; APPROXIMATION; SEQUENCES; DATABASE; ALGORITHMS
261,950623,Magic functions,digital signature; Fiat-Shamir methodology; interactive argument; interactive proof system; magic function; selective decommitment; zero knowledge,PROOF SYSTEMS; SECURITY; NP
262,950624,Conditions on input vectors for consensus solvability in asynchronous distributed systems,asynchronous systems; consensus problem; crash failures; fault-tolerance; message-passing; atomic registers; shared memory,UNRELIABLE FAILURE DETECTORS; MESSAGE-PASSING SYSTEMS; SOLVING CONSENSUS; ATOMIC SNAPSHOTS; IMPOSSIBILITY; MEMORY; AGREEMENT; OBJECTS; FAULTS; TASKS
263,950625,On the generating sequences of regular languages on k symbols,generating sequences; rational sequences; regular languages; regular sequences,THEOREM
264,876639,Reasoning about temporal relations: The tractable subalgebras of Allen's interval algebra,Allen's algebra; complexity; dichotomy theorem; NP-completeness; representing graphs by intervals; satisfiability of temporal constraints; tractable cases,CONSTRAINT SATISFACTION; COMPLETE CLASSIFICATION; COMPLEXITY; ALGORITHMS; TIME; DISJUNCTIONS; SUBCLASSES
265,876640,The geometric maximum traveling salesman problem,traveling salesman problem; optimization; polyhedral metric; euclidean metric; NP-hardness; polynomial time; maximum scatter TSP,BIPARTITE NETWORK FLOW; ALGORITHMS; TSP
266,876642,Definable relations and first-order query languages over strings,strings; first-order definability; quantifier elimination; query languages; expressive power,CONSTRAINT QUERIES; FINITE; DECIDABILITY; ALGEBRAS; CIRCUITS; WORDS
267,876643,Counterexample-guided abstraction refinement for symbolic model checking,abstraction; temporal logic; hardware verification; symbolic model checking,SYMMETRY; VERIFICATION; COMPLEXITY; LANGUAGES
268,876641,The performance of difference coding for sets and relational tables,statistical limit theorems; lossless compression; data warehousing; on-line analytical processing,RANDOM-VARIABLES; SAMPLE SPACINGS; LOGARITHM
269,792540,Primality and identity testing via Chinese remaindering,primality testing; polynomial identity testing,SPARSE MULTIVARIATE POLYNOMIALS; FINITE-FIELDS; INTERPOLATION; ALGORITHMS
270,792541,Algorithms adapting to point contention,contention-sensitive complexity; wait-free algorithms; asynchronous shared-memory systems; read/write registers; renaming; collect,MUTUAL EXCLUSION; SNAPSHOTS
271,792542,Computability theory of generalized functions,computable analysis; computability on distributions; computable real functions,INTERVAL
272,792543,"Noise-tolerant learning, the parity problem, and the statistical query model",computational learning theory; machine learning; statistical queries,
273,792544,Bounds on delays and queue lengths in input-queued cell switches,performance evaluation; delay bounds; input queued switches; scheduling,SCHEDULING ALGORITHM; THROUGHPUT; STABILITY; NETWORKS
274,792545,Minimizing flow time nonclairvoyantly,scheduling; resource augmentation; flow time; shortest elapsed time first; multilevel feedback; randomized algorithm,
275,792546,How asymmetry helps load balancing,randomized algorithms; probabilistic analysis; balls and bins processes,
276,765570,A differential approach to inference in Bayesian networks,algorithms; theory; probabilistic reasoning; Bayesian networks; compiling probabilistic models; circuit complexity,ALGORITHM
277,765571,The height of a random binary search tree,algorithms; theory; binary search-tree; height; probabilistic analysis; random tree; asymptotics; second moment method,
278,765572,An analytic approach to the height of binary search trees II,algorithms; theory; binary search tree; average case analysis; height; saturation level; generating functions,VARIANCE
279,765573,Algorithms for computing the static single assignment form,algorithms; languages; theory; control dependence; optimizing compilers; program optimization; program transformation; static single assignment form,DEPENDENCE
280,636866,Mini-buckets: A general scheme for bounded inference,algorithms; experimentation; accuracy/complexity trade-off; approximation algorithms; Bayesian networks; combinatorial optimization; probabilistic inference,BAYESIAN BELIEF NETWORKS; PROBABILISTIC INFERENCE; SEARCH; CONSISTENCY; HEURISTICS; ALGORITHMS
281,636867,Time-space trade-off lower bounds for randomized computation of decision problems,theory; branching programs; random-access machines; quadratic forms; element distinctness,BRANCHING PROGRAMS; MACHINES
282,636868,A complete problem for statistical zero knowledge,security; theory; knowledge complexity; proof systems; statistical difference; zero knowledge,INTERACTIVE PROOF SYSTEMS; NP; LANGUAGES; SZK; CO
283,636869,A foundation for designing deadlock-free routing algorithms in wormhole networks,security; theory; knowledge complexity; proof systems; statistical difference; zero knowledge,SCALABLE PARALLEL COMPUTERS; COLLECTIVE COMMUNICATION; MULTICAST
284,602383,JACM's 50th anniversary,,
285,602386,Journal of the ACM - The beginnings,,
286,602387,Transitions 1959-1964,,
287,602388,A golden age for JACM,,
288,602389,JACM 1973-1975,,
289,602390,JACM 1976-1979,,
290,602391,JACM 1983-1986,,
291,602392,JACM 1986-1990,,
292,602393,JACM 1991-1997,,
293,602395,A report from headquarters,,
294,602397,Three great challenges for half-century-old computer science,,
295,602398,The importance of the P versus NP question,,
296,602399,On computer system challenges,,
297,602400,Some challenges and grand challenges for computational intelligence,,
298,602401,What next? A dozen information-technology research goals,,
299,602402,Separation of complexity classes,,
300,602403,The verifying compiler: A grand challenge for computing research,,
301,602404,Getting computers to understand,,
302,602405,Problems and projections in CS for the next 49 years,,
303,602406,Propositional proof complexity,,SYSTEMS
304,602407,Three open problems in AI,,
305,602408,Why haven't more quantum algorithms been found?,,
306,602409,Deterministic versus nondeterministic time and lower bound problems,theory; algorithms; computational complexity; generic algorithms; generic problems; nondeterminism; NP-completeness; power index; SAT; time complexity,
